0.000 0.000 -41.963 -2.623 0.000 1.242 0.000 1.000
0.125 0.000 -42.637 -5.287 0.000 0.949 0.038 0.962
0.250 0.000 -43.874 -8.030 0.000 0.718 0.146 0.854
0.375 0.000 -44.742 -10.826 0.000 0.538 0.309 0.691
0.500 0.000 -46.185 -13.713 0.000 0.399 0.500 0.500
0.625 0.000 -47.280 -16.668 -0.000 0.293 0.691 0.309
0.750 0.000 -48.967 -19.728 -0.000 0.213 0.854 0.146
0.875 0.000 -50.334 -22.874 -0.000 0.153 0.962 0.038
1.000 0.000 -52.317 -26.144 -0.000 0.109 1.000 0.000
1.125 0.000 -54.014 -29.520 0.000 0.077 0.962 0.038
1.250 0.000 -56.361 -33.042 0.000 0.054 0.854 0.146
1.375 0.000 -58.469 -36.696 0.000 0.037 0.691 0.309
1.500 0.000 -61.272 -40.526 0.000 0.025 0.500 0.500
1.625 0.000 -63.900 -44.520 -0.000 0.016 0.309 0.691
1.750 0.000 -67.289 -48.725 -0.000 0.011 0.146 0.854
1.875 0.000 -70.589 -53.137 -0.000 0.007 0.038 0.962
2.000 0.000 -74.745 -57.809 -0.000 0.005 0.000 1.000
2.125 0.000 -78.933 -62.742 0.000 0.003 0.038 0.962
2.250 0.000 -84.119 -67.999 0.000 0.002 0.146 0.854
2.375 0.000 -89.516 -73.594 0.000 0.001 0.309 0.691
2.500 0.000 -96.124 -79.602 0.000 0.000 0.500 0.500
2.625 0.000 -103.217 -86.053 -0.000 0.000 0.691 0.309
2.750 0.000 -111.859 -93.044 -0.000 0.000 0.854 0.146
2.875 0.000 -121.426 -100.633 -0.000 0.000 0.962 0.038
3.000 0.000 -133.109 -108.953 -0.000 0.000 1.000 0.000
3.125 0.000 -146.477 -118.107 0.000 0.000 0.962 0.038
3.250 0.000 -162.990 -128.294 0.000 0.000 0.854 0.146
3.375 0.000 -182.645 -139.710 0.000 -0.000 0.691 0.309
3.500 0.000 -207.562 -152.682 0.000 -0.000 0.500 0.500
3.625 0.000 -238.816 -167.608 -0.000 -0.000 0.309 0.691
3.750 0.000 -280.226 -185.122 -0.000 -0.000 0.146 0.854
3.875 0.001 -335.382 -206.084 -0.000 0.000 0.038 0.962
4.000 0.002 -411.242 -231.786 -0.000 0.000 0.000 1.000
4.125 0.004 -513.944 -263.908 0.000 0.000 0.038 0.962
4.250 0.010 -649.097 -304.476 0.000 0.000 0.146 0.854
4.375 0.024 -811.676 -355.206 0.000 -0.000 0.309 0.691
4.500 0.049 -978.887 -416.387 0.000 -0.000 0.500 0.500
4.625 0.095 -1095.970 -484.885 -0.000 -0.000 0.691 0.309
4.750 0.168 -1076.524 -552.167 -0.000 -0.000 0.854 0.146
4.875 0.275 -814.730 -603.088 -0.000 0.000 0.962 0.038
5.000 0.417 -228.632 -617.378 -0.000 0.000 1.000 0.000
5.125 0.582 687.665 -574.398 0.000 0.000 0.962 0.038
5.250 0.750 1816.665 -460.857 0.000 0.000 0.854 0.146
5.375 0.893 2922.529 -278.199 0.000 -0.000 0.691 0.309
5.500 0.982 3713.050 -46.133 0.000 -0.000 0.500 0.500
5.625 0.996 3952.688 200.910 -0.000 -0.000 0.309 0.691
5.750 0.933 3560.603 423.447 -0.000 -0.000 0.146 0.854
5.875 0.806 2650.597 589.110 -0.000 0.000 0.038 0.962
6.000 0.643 1478.359 681.507 -0.000 0.000 0.000 1.000
6.125 0.474 337.479 702.600 0.000 0.000 0.038 0.962
6.250 0.322 -550.323 668.204 0.000 0.000 0.146 0.854
6.375 0.202 -1088.199 600.192 0.000 -0.000 0.309 0.691
6.500 0.117 -1300.104 518.935 0.000 -0.000 0.500 0.500
6.625 0.063 -1278.676 439.018 -0.000 -0.000 0.691 0.309
6.750 0.031 -1132.877 368.213 -0.000 -0.000 0.854 0.146
6.875 0.014 -947.545 308.992 -0.000 0.000 0.962 0.038
7.000 0.006 -774.129 260.609 -0.000 0.000 1.000 0.000
7.125 0.002 -632.476 221.079 0.000 0.000 0.962 0.038
7.250 0.001 -525.593 188.229 0.000 0.000 0.854 0.146
7.375 0.000 -446.861 160.301 0.000 -0.000 0.691 0.309
7.500 0.000 -389.631 135.949 0.000 -0.000 0.500 0.500
7.625 0.000 -346.816 114.273 -0.000 -0.000 0.309 0.691
7.750 0.000 -314.696 94.604 -0.000 -0.000 0.146 0.854
7.875 0.000 -289.472 76.512 -0.000 0.000 0.038 0.962
8.000 0.000 -269.976 59.639 -0.000 0.000 0.000 1.000
8.125 0.000 -254.125 43.756 0.000 -0.000 0.038 0.962
8.250 0.000 -241.832 28.641 0.000 -0.000 0.146 0.854
8.375 0.000 -231.691 14.161 0.000 -0.000 0.309 0.691
8.500 0.000 -224.049 0.158 0.000 -0.000 0.500 0.500
